"Repo","Relation","FenceValid","RelationValid","MissingFields","UnrecognizedKeys","KeyCount","Compliant"
"szl-typesafe-triage-lora","adapter","True","True","","","9","True"
"szl-typesafe-triage-lora-r16","adapter","True","True","","","9","True"
"szl-typesafe-triage-lora-r32","adapter","True","True","","","9","True"
"szl-typesafe-triage-lora-guarded","adapter","True","True","","","9","True"
"szl-typesafe-triage-lora-holdout","adapter","True","True","","","9","True"
"szl-typesafe-triage-lora-assistonly","adapter","True","True","","","9","True"
"szl-typesafe-triage-merged","merge","True","True","","","9","True"
"szl-typesafe-triage-merged-bf16","merge","True","True","","","9","True"
"szl-typesafe-triage-gguf","quantized","True","True","","","9","True"
"szl-typesafe-triage-awq","quantized","True","True","","","9","True"
"szl-typesafe-triage-schema","finetune","True","True","","","9","True"
"szl-typesafe-triage-eval","finetune","True","True","","","9","True"
